Address,Google Map Link,City,Diseases
"Manarch Hospital, Solapur",https://goo.gl/maps/FNfQUkvvzWegM3wD8,"Solapur, Maharshtra",covid
Solapur Care Multispeciality Hospital,https://goo.gl/maps/oRQyoCmLnN69Rt7A8,"Solapur, Maharshtra",covid
NEWLIFE HOSPITAL SOLAPUR,https://goo.gl/maps/xZbHkri6QANcYin99,"Solapur, Maharshtra",covid
CNS Hospital,https://goo.gl/maps/bFatKLhhWnX5VXov9,"Solapur, Maharshtra",covid
Ashwini Sahakari Rugnalaya,https://goo.gl/maps/HkSJUC9sD76VYAWu7,"Solapur, Maharshtra",covid
Sri Markandeya sahkari Rugnalaya Research Centre,https://goo.gl/maps/zviTFeiQcrQv5QPTA,"Solapur, Maharshtra",covid
Amit Orthopaedic Center,https://goo.gl/maps/JwwtqWwkbdEmg9UJ6,"Solapur, Maharshtra",bone
Yashodhara Superspeciality Hospitals,https://goo.gl/maps/9udBZL6Y4vcxnLJcA,"Solapur, Maharshtra",bone
Akshara Hospital,https://goo.gl/maps/SX81X6jbq1Xqycrz6,"Solapur, Maharshtra",bone
YUGANDHAR MULTISPACIALITY HOSPITAL,https://goo.gl/maps/wPYxwQoENv2dehXC6,"Solapur, Maharshtra",bone
Joshi Clinic Multispecialist Hospital And I.C.U,https://goo.gl/maps/vNdHtkFZtMTvkQpy6,"Solapur, Maharshtra",bone
Ashwini Sahakari Rugnalaya,https://goo.gl/maps/HkSJUC9sD76VYAWu7,"Solapur, Maharshtra",bone
Ashwini Sahakari Rugnalaya,https://goo.gl/maps/HkSJUC9sD76VYAWu7,"Solapur, Maharshtra",brain
Sparsh Neuro and Super Speciality Hospital,https://goo.gl/maps/p6BYsVycnTRUxNKN7,"Solapur, Maharshtra",brain
Yashodhara Super Speciality Hospital,https://goo.gl/maps/PdbjNzAeqcHqYzsdA,"Solapur, Maharshtra",brain
Cns Hospital,https://goo.gl/maps/bFatKLhhWnX5VXov9,"Solapur, Maharshtra",brain
S P Institute Of Neuro Sciences Dr Valsangkar Hospital,https://goo.gl/maps/fwXJNB9DmUm3ntR68,"Solapur, Maharshtra",brain
Ss Baldawa Neurosciences And Womens Care Hospital,https://goo.gl/maps/mkogv11AwoigEH7TA,"Solapur, Maharshtra",brain
Dr Shewale's Sai Heart & Maternity Care,https://goo.gl/maps/q4cr92AKubmWQ5vv8,"Solapur, Maharshtra",heart
Samruddhi Heart Care Maternity and Fertility Clinic,https://goo.gl/maps/CqmQBkxXhgiDbbhD6,"Solapur, Maharshtra",heart
Dr. Parale Heart hospital,https://goo.gl/maps/GNXVRLuXYf3P3MMb8,"Solapur, Maharshtra",heart
Ashwini Sahakari Rugnalaya,https://goo.gl/maps/HkSJUC9sD76VYAWu7,"Solapur, Maharshtra",heart
Dr.Rizwans APEX SUPER SPECIALITY HOSPITAL &RESEARCH CENTRE,https://goo.gl/maps/DF234HjKzhJisXNS9,"Solapur, Maharshtra",heart
Dr Shewale\'s Sai Heart & Maternity Care,https://goo.gl/maps/HQHBBF3kxeWYakGs5,"Solapur, Maharshtra",heart
Dwarka Skin Hair & Ayurvedic Keraliy Panchkarma Hospital,https://goo.gl/maps/54JSTyXWt8vWvAyh6,"Solapur, Maharshtra",skin
Dr Swapnaja Katekaris Revive Skin Hair and Dental Cosmetic Clinic South Sadar Bazar Opposite Modern High School Sadar Bazar,https://goo.gl/maps/mGsvWJEuqPQwXP3L6,"Solapur, Maharshtra",skin
Ashwini Sahakari Rugnalaya,https://goo.gl/maps/HkSJUC9sD76VYAWu7,"Solapur, Maharshtra",skin
Vishwaraj Superspeciality Hospital,https://goo.gl/maps/ywATSxzs4KDrSzHU9,"Pune, Maharashtra",covid
Sanjeevani Hospital,https://goo.gl/maps/eDDQnxQqGCBGsxcH6,"Pune, Maharashtra",covid
Pote Hospital,https://goo.gl/maps/FfxLZSatT3A6UKEp8,"Pune, Maharashtra",covid
Lokmanya Hospital Pvt Ltd,https://goo.gl/maps/zppfYuKR4RCR6hXW8,"Pune, Maharashtra",covid
Shri Prayagdham Trust Charitable Hospital,https://goo.gl/maps/BhgLsPcovzXn4yNE9,"Pune, Maharashtra",covid
Lifeline Hospital and Maternity Home,https://goo.gl/maps/zv3PuWFY5wHtAv2HA,"Pune, Maharashtra",covid
